"","cluster","pc_variance_sum","slope_mean","intercept_mean","direction","index","climate_zone","cluster_reorder"
"47",9,0.85813,-1.12996490163243,-3.82866919185123,"positive","enso","continental-polar",41
"48",9,0.85813,9.44544420784414,4.67675215506867,"negative","nao","continental-polar",41
"49",9,0.85813,4.30310940917911,6.86036446737624,"negative","enso","continental-polar",41
"50",9,0.69261,4.35079423370294,-8.07765227258017,"positive","pdo","continental-polar",41
"51",9,0.16552,8.82885216360626,-0.380429392223539,"positive","iod","continental-polar",41
"52",9,0.69261,0.483820074251125,2.99539714514921,"negative","pdo","continental-polar",41
"53",9,0.85813,-20.2469967566836,3.90826476041952,"positive","nao","continental-polar",41
"54",9,0.16552,20.7693813612292,3.10111321456507,"negative","iod","continental-polar",41
"55",10,0.83067,-7.69877762369273,4.66057024233227,"positive","pdo","polar",47
"56",10,0.83067,-8.12196303786354,-0.473599255177031,"negative","nao","polar",47
"57",10,0.83067,-11.4262853839404,1.50802754149604,"positive","nao","polar",47
"58",10,0.72428,7.88093622622391,-4.71672369008624,"positive","enso","polar",47
"59",10,0.83067,-0.382055488737076,-0.373514523125974,"negative","pdo","polar",47
"60",10,0.72428,-1.17416230000937,0.16141245297881,"negative","enso","polar",47
"61",11,0.69103,-16.5441967934754,-3.13831637281142,"positive","nao","dry-continental",19
"62",11,0.83761,3.49923561255463,1.55833354573233,"positive","iod","dry-continental",19
"63",11,0.14658,2.88082695579954,3.28678027126392,"positive","pdo","dry-continental",19
"64",11,0.14658,12.5285175965953,3.05821212793982,"negative","enso","dry-continental",19
"65",11,0.14658,1.85923448035241,-0.754301681749846,"negative","pdo","dry-continental",19
"66",11,0.83761,17.3456538521229,1.77166199283205,"negative","iod","dry-continental",19
"67",11,0.14658,5.49824987413568,0.400166978493147,"positive","enso","dry-continental",19
"68",11,0.69103,-23.1266049760697,0.688317550312679,"negative","nao","dry-continental",19
"69",12,0.86038,2.43494701836712,-3.27954994285604,"positive","nao","dry-temperate-continental",15
"70",12,0.74805,12.7227132968058,8.17508320739103,"negative","enso","dry-temperate-continental",15
"71",12,0.74805,9.94563103062604,-6.59992002476626,"positive","enso","dry-temperate-continental",15
"72",12,0.86038,-6.8998345101071,0.228186518094639,"negative","nao","dry-temperate-continental",15
"73",12,0.74805,-34.7776813696639,11.4768503867476,"positive","iod","dry-temperate-continental",15
"74",12,0.74805,-7.49991858280825,-4.79944414043626,"negative","iod","dry-temperate-continental",15
"75",13,0.74911,-5.37319735930054,1.08640834140283,"negative","iod","dry-temperate",11
"76",13,0.10549,-0.732454650863261,-2.20005058221023,"positive","nao","dry-temperate",11
"77",13,0.74911,3.64381011160634,-3.61418690367232,"positive","iod","dry-temperate",11
"78",13,0.10549,-0.499730506659757,1.91877437208482,"negative","nao","dry-temperate",11
"79",14,0.64209,-2.73099311025205,-0.425768685563656,"positive","pdo","continental-polar",42
"80",14,0.11262,-4.49115739058555,-0.759596673405376,"negative","iod","continental-polar",42
"81",14,0.64209,-1.28609417905832,1.24904377118019,"negative","enso","continental-polar",42
"82",14,0.11262,17.9474563883133,-3.86874311672375,"positive","iod","continental-polar",42
"83",14,0.64209,2.85739432711813,3.40211166493888,"negative","pdo","continental-polar",42
"84",14,0.64209,-1.28317640088764,-1.1552861491528,"positive","enso","continental-polar",42
"85",14,0.64209,-17.9873923184472,1.5125217611083,"positive","nao","continental-polar",42
"86",14,0.64209,-3.08319343974783,2.65424075185036,"negative","nao","continental-polar",42
"87",15,0.55463,-9.39022047057054,5.63127018504294,"positive","pdo","tropical-dry-temperate-polar",9
"88",15,0.55463,6.5585439432792,0.472598063528663,"negative","enso","tropical-dry-temperate-polar",9
"89",15,0.53391,-10.0510936510591,0.512126366683497,"positive","nao","tropical-dry-temperate-polar",9
"90",15,0.53391,-9.99855493225125,-0.513157647843593,"negative","nao","tropical-dry-temperate-polar",9
"91",15,0.55463,5.42576125275642,4.60646370344742,"negative","pdo","tropical-dry-temperate-polar",9
"92",15,0.55463,-2.27192622428741,3.88708164321688,"positive","enso","tropical-dry-temperate-polar",9
"93",16,0.51128,-25.3811701340339,-3.24809119040661,"positive","nao","tropical",1
"94",16,0.51128,27.8690244918606,-6.60171453942884,"positive","pdo","tropical",1
"95",16,0.51128,42.1229481966316,11.2544519584724,"negative","enso","tropical",1
"96",16,0.51128,-19.2503168859104,4.19798845826574,"negative","nao","tropical",1
"97",16,0.51128,13.688306419062,7.0520397029347,"negative","pdo","tropical",1
"98",16,0.51128,18.71536982921,0.309506583830407,"positive","enso","tropical",1
"99",17,0.80614,-32.8337578087714,8.41567616484224,"positive","iod","continental",31
"100",17,0.80614,-6.4357364143433,-1.29211283342529,"positive","nao","continental",31
"101",17,0.80614,18.9082419269036,2.53045328965873,"negative","iod","continental",31
"102",17,0.80614,-3.36440457185926,-0.0891059028092307,"negative","enso","continental",31
"103",17,0.66777,-14.3531461761724,1.2125835977884,"positive","pdo","continental",31
"104",17,0.66777,-10.4189678840271,-5.48562725932961,"negative","pdo","continental",31
"105",17,0.80614,-1.60232380186384,-0.736259470134008,"positive","enso","continental",31
"106",17,0.80614,-12.4192534801266,-0.614172445314991,"negative","nao","continental",31
"107",18,0.89721,-25.1257023418233,4.94901228584327,"positive","nao","continental-polar",43
"108",18,0.89721,-10.2952475587168,-0.340818822151586,"negative","nao","continental-polar",43
"109",18,0.79231,-34.5648494438935,5.39223574534133,"positive","iod","continental-polar",43
"110",18,0.79231,-5.07160477193729,-3.46054926493062,"negative","pdo","continental-polar",43
"111",18,0.79231,-9.03650945430654,3.48832081415017,"positive","pdo","continental-polar",43
"112",18,0.79231,2.2387873023001,7.86570465358405,"negative","enso","continental-polar",43
"113",18,0.79231,31.6752013188781,7.6549240695705,"negative","iod","continental-polar",43
"114",18,0.79231,-14.6847434624871,1.08847067344987,"positive","enso","continental-polar",43
"115",19,0.11187,3.75724635948595,-1.77037579264668,"positive","enso","dry-temperate-polar",18
"116",19,0.11187,3.61569889404951,-1.51937846588548,"positive","nao","dry-temperate-polar",18
"117",19,0.11187,-2.76882908686119,-2.78296306558761,"negative","pdo","dry-temperate-polar",18
"118",19,0.11187,-3.80860973004931,-0.724202755143423,"negative","nao","dry-temperate-polar",18
"119",19,0.11187,1.17448513067927,0.460972071228952,"negative","enso","dry-temperate-polar",18
"120",19,0.11187,0.349098198036853,0.679037482686122,"positive","pdo","dry-temperate-polar",18
"121",20,0.13928,6.57464284943705,-2.50678680984875,"positive","iod","tropical-temperate",10
"122",20,0.13928,6.47945482354605,2.18122467954803,"negative","iod","tropical-temperate",10
"123",20,0.13928,6.49528250294987,1.86147573078792,"negative","nao","tropical-temperate",10
"124",20,0.6373,-7.17218440632097,-1.73339918389751,"negative","enso","tropical-temperate",10
"125",20,0.13928,4.4074529588571,-1.47183546301488,"positive","nao","tropical-temperate",10
"126",20,0.6373,-22.4727829618473,9.54900710575571,"positive","enso","tropical-temperate",10
"127",21,0.13262,7.61201479257018,0.171392897310543,"negative","nao","tropical-dry-temperate",6
"128",21,0.67465,-22.363128950808,-6.5036310529843,"negative","enso","tropical-dry-temperate",6
"129",21,0.13262,-5.27484217490486,3.93142765159254,"positive","nao","tropical-dry-temperate",6
"130",21,0.67465,-11.0118885714215,0.881014783196631,"positive","enso","tropical-dry-temperate",6
"131",22,0.77326,7.50471549011867,-3.88739164672851,"positive","enso","tropical-dry",2
"132",22,0.1358,-5.83784100344284,-0.50237556195326,"negative","iod","tropical-dry",2
"133",22,0.1358,-11.9016848447724,6.01643910600415,"positive","pdo","tropical-dry",2
"134",22,0.1358,-0.0638695118394513,0.430750127995673,"negative","pdo","tropical-dry",2
"135",22,0.1358,6.34331452881322,-2.18975409910967,"positive","iod","tropical-dry",2
"136",22,0.77326,-0.0404862175813707,0.0678395332523205,"negative","enso","tropical-dry",2
"137",23,0.75784,-1.45163433910166,-1.22802620775384,"negative","pdo","dry-temperate",12
"138",23,0.75784,-2.04380519625239,1.18298904884101,"positive","pdo","dry-temperate",12
"139",24,0.76245,-10.8556087047194,1.22804531337594,"positive","nao","tropical-dry",3
"140",24,0.65565,4.45071061110205,-4.04860888524209,"negative","enso","tropical-dry",3
"141",24,0.65565,1.64680638760922,5.15492116816671,"positive","enso","tropical-dry",3
"142",24,0.76245,-13.207047385098,-1.78824340064907,"negative","nao","tropical-dry",3
"143",25,0.59548,-25.6945068059537,-2.51156139177288,"negative","nao","temperate-continental",28
"144",25,0.59548,14.2694240163794,-3.58634523380088,"positive","pdo","temperate-continental",28
"145",25,0.59548,0.991088550983253,-5.70238292865065,"positive","nao","temperate-continental",28
"146",25,0.59548,-7.1635195400039,-8.40870886889276,"negative","pdo","temperate-continental",28
"147",26,0.77315,-16.0267497086976,0.127078777608961,"positive","nao","temperate-continental",29
"148",26,0.13489,2.32190208032363,-1.12005908870328,"positive","enso","temperate-continental",29
"149",26,0.13489,5.69041934215293,2.85920562311739,"negative","enso","temperate-continental",29
"150",26,0.63826,-17.658120701008,-4.58627628974789,"positive","iod","temperate-continental",29
"151",26,0.63826,-34.8424543878637,-0.811097717271033,"negative","iod","temperate-continental",29
"152",26,0.77315,-19.2135280117345,-1.13511383746703,"negative","nao","temperate-continental",29
"153",27,0.66851,1.03136693745766,2.72627226030635,"negative","pdo","dry-temperate-continental",16
"154",27,0.66851,-16.5031272954847,5.84667167830281,"positive","pdo","dry-temperate-continental",16
"155",27,0.66851,10.4972406243065,-7.60586724553878,"positive","nao","dry-temperate-continental",16
"156",27,0.66851,0.41005671291109,-0.276109950657233,"negative","enso","dry-temperate-continental",16
"157",27,0.66851,-41.0317438527956,-7.65058280899784,"negative","nao","dry-temperate-continental",16
"158",27,0.66851,-8.58600032232373,4.81176723237021,"positive","enso","dry-temperate-continental",16
"159",28,0.55135,19.0080537140464,-3.01054962321253,"positive","enso","tropical-dry-temperate",7
"160",28,0.55135,6.02629978145594,2.42847768221104,"negative","pdo","tropical-dry-temperate",7
"161",28,0.55135,23.8436373622814,-8.32231407875074,"positive","pdo","tropical-dry-temperate",7
"162",28,0.55135,28.7227986966776,7.73313312528727,"negative","enso","tropical-dry-temperate",7
"163",28,0.55135,24.368626306626,-4.80398283394581,"positive","iod","tropical-dry-temperate",7
"164",28,0.55135,22.1730286759158,4.32077553730636,"negative","iod","tropical-dry-temperate",7
"165",29,0.78404,-8.53385180434582,1.57520795353357,"positive","enso","tropical-dry-temperate",8
"166",29,0.78404,-1.44988248680287,0.56060246945571,"negative","pdo","tropical-dry-temperate",8
"167",29,0.78404,-4.09866957632084,0.804478555354633,"negative","enso","tropical-dry-temperate",8
"168",29,0.78404,10.6569351784929,-2.57795499953614,"positive","iod","tropical-dry-temperate",8
"169",29,0.78404,-3.90493678381609,-0.488027667866191,"negative","iod","tropical-dry-temperate",8
"170",29,0.78404,-4.07384313438747,-1.42180009305584,"positive","pdo","tropical-dry-temperate",8
"171",30,0.87299,-6.00050318797439,-0.745069231418778,"negative","nao","continental",32
"172",30,0.87299,7.74409691486975,-3.51668602448963,"positive","pdo","continental",32
"173",30,0.87299,0.348019723974822,-0.205110523095111,"negative","pdo","continental",32
"174",30,0.76804,9.11783982640223,-1.14618629747287,"positive","enso","continental",32
"175",30,0.87299,-5.74756796908151,0.734532658256942,"positive","nao","continental",32
"176",30,0.76804,17.3954252648185,5.25032749404869,"negative","enso","continental",32
"177",31,0.74737,4.54697980020723,-2.89607512876522,"negative","pdo","dry-continental",20
"178",31,0.86296,4.61219213584828,-0.292796477336789,"negative","nao","dry-continental",20
"179",31,0.86296,6.51503685917655,-2.63677270772879,"negative","enso","dry-continental",20
"180",31,0.86296,4.58473040713861,0.405791950481369,"positive","nao","dry-continental",20
"181",31,0.74737,10.5581908387187,8.1970823157522,"positive","pdo","dry-continental",20
"182",31,0.86296,2.88642681718232,4.1928868294003,"positive","enso","dry-continental",20
"183",32,0.71572,6.74182271219756,1.19521556280536,"positive","nao","dry-continental",21
"184",32,0.71572,6.50315905269597,5.52811872285954,"positive","pdo","dry-continental",21
"185",32,0.71572,20.7847437631452,2.91760845690002,"negative","nao","dry-continental",21
"186",32,0.71572,2.5799365101367,-2.19743739622331,"negative","pdo","dry-continental",21
"187",33,0.80991,-39.6825377760531,-10.766370410363,"negative","nao","continental",33
"188",33,0.80991,-2.08718316460645,6.0805789686424,"positive","enso","continental",33
"189",33,0.80991,11.1304709878401,-3.68362575597433,"positive","nao","continental",33
"190",33,0.80991,-15.2652539416594,-13.1408329733709,"negative","enso","continental",33
"191",34,0.77411,68.238672909411,-20.5180364337633,"positive","iod","dry-continental",22
"192",34,0.77411,-7.13945938589041,-12.411917569112,"negative","enso","dry-continental",22
"193",34,0.77411,-9.92929135096265,13.3088421001131,"positive","enso","dry-continental",22
"194",34,0.77411,5.80609406877149,0.150755243552401,"negative","pdo","dry-continental",22
"195",34,0.77411,-75.29374716266,-10.2167254992304,"negative","iod","dry-continental",22
"196",34,0.77411,0.884233401062873,9.73009871046682,"positive","pdo","dry-continental",22
"197",35,0.77707,1.47011477641032,0.463975293512494,"positive","enso","continental-polar",44
"198",35,0.77707,-57.7133720772113,-14.1199392031032,"negative","nao","continental-polar",44
"199",35,0.77707,7.30295712160375,-4.38349030774543,"positive","nao","continental-polar",44
"200",35,0.77707,3.79323112686152,3.39016919582879,"negative","pdo","continental-polar",44
"201",35,0.77707,8.61343080482575,-5.41615266761976,"positive","pdo","continental-polar",44
"202",35,0.77707,-12.3825368573342,-7.6303960708009,"negative","enso","continental-polar",44
"203",36,0.70669,-9.05768983184344,-0.392668185162644,"positive","nao","dry-polar",26
"204",36,0.70669,-6.45843548988176,0.962810427003286,"negative","nao","dry-polar",26
"205",37,0.77934,20.1148079416723,-11.7494900722028,"positive","iod","dry-continental",23
"206",37,0.77934,2.2334676521356,-2.25432132662291,"negative","pdo","dry-continental",23
"207",37,0.77934,-0.234525659813809,9.00960171797969,"positive","pdo","dry-continental",23
"208",37,0.77934,-49.144254876443,-4.12638084147606,"negative","iod","dry-continental",23
"209",38,0.64332,14.234881549769,12.926701816983,"negative","enso","dry-polar",27
"210",38,0.64332,-6.16179100797696,-0.017977810587592,"negative","nao","dry-polar",27
"211",38,0.64332,-3.39338547192892,-3.60034606232314,"positive","enso","dry-polar",27
"212",38,0.64332,-9.65290717641932,1.0499945677549,"positive","nao","dry-polar",27
"213",39,0.5184,3.08507316569279,1.77501679305727,"negative","nao","dry-temperate-continental",17
"214",39,0.5184,0.852002830286922,-1.361820998524,"positive","nao","dry-temperate-continental",17
"215",40,0.82911,-1.38176318593959,-0.0168564353512073,"positive","enso","continental-polar",45
"216",40,0.82911,2.72118073434369,2.15411435249908,"negative","enso","continental-polar",45
"217",40,0.82911,35.8531466876057,8.75574153230225,"negative","nao","continental-polar",45
"218",40,0.70416,1.89253760423899,-1.22265293506299,"positive","iod","continental-polar",45
"219",40,0.12495,1.11611601154073,-0.453061060011913,"negative","pdo","continental-polar",45
"220",40,0.70416,5.08292441033397,1.65453633293476,"negative","iod","continental-polar",45
"221",40,0.12495,2.88636176289445,1.28822925382351,"positive","pdo","continental-polar",45
"222",40,0.82911,-9.24170152381234,4.22048279866161,"positive","nao","continental-polar",45
"223",41,0.75563,-9.10430166300877,-1.95657787493586,"negative","nao","dry-continental",24
"224",41,0.75563,-2.57245913472137,0.158808275124466,"positive","nao","dry-continental",24
"225",42,0.12376,-8.38919623454864,-3.14724317959802,"negative","enso","dry-continental",25
"226",42,0.12376,-9.14565728204204,3.54133597502981,"positive","enso","dry-continental",25
"227",42,0.77052,-1.47177311790183,-2.52477285976247,"negative","pdo","dry-continental",25
"228",42,0.77052,-0.283977533501673,2.86643631122683,"positive","pdo","dry-continental",25
"229",43,0.84645,-1.45036675808736,2.26111068419078,"positive","nao","continental",34
"230",43,0.1737,2.26327787665911,0.0639418404150907,"positive","enso","continental",34
"231",43,0.1737,1.17995976141234,-0.674908256035715,"negative","enso","continental",34
"232",43,0.67275,-0.855224373210107,-5.38799618066152,"positive","pdo","continental",34
"233",43,0.67275,-9.19249773899947,-5.09209605869491,"negative","pdo","continental",34
"234",43,0.84645,16.3541154786134,2.97432586655259,"negative","nao","continental",34
"235",44,0.71623,-14.0288761808346,-0.6043163797115,"positive","iod","dry-temperate",13
"236",44,0.83265,-9.53225050755281,-2.28626495468249,"negative","enso","dry-temperate",13
"237",44,0.16167,-2.48376035865494,-3.36393093508281,"positive","nao","dry-temperate",13
"238",44,0.11642,-3.58287977488164,-0.707074619117828,"negative","pdo","dry-temperate",13
"239",44,0.11642,2.24922745484341,-6.3518205639805,"positive","pdo","dry-temperate",13
"240",44,0.16167,5.53206568781081,5.02968335872752,"negative","nao","dry-temperate",13
"241",44,0.71623,-11.2227449202475,0.371024178427391,"negative","iod","dry-temperate",13
"242",44,0.83265,-6.41964469850843,0.790597371879882,"positive","enso","dry-temperate",13
"243",45,0.83083,-9.52814327960207,-5.51321794394661,"negative","enso","continental-polar",46
"244",45,0.83083,-1.93778706668493,1.57359911948339,"positive","enso","continental-polar",46
"245",45,0.83083,0.140904648838846,-4.36364271118054,"positive","pdo","continental-polar",46
"246",45,0.83083,-2.59871533472341,-0.212664490756427,"negative","pdo","continental-polar",46
"247",46,0.61752,-1.29347673098615,-0.0907024480358539,"positive","nao","continental",35
"248",46,0.61752,14.5923037120824,-2.55230955902515,"positive","enso","continental",35
"249",46,0.61752,11.6856975578936,0.874570799288114,"negative","enso","continental",35
"250",46,0.61752,11.6199476539664,-2.31007078251996,"positive","pdo","continental",35
"251",46,0.61752,15.0760795432222,4.57079004568255,"negative","nao","continental",35
"252",46,0.61752,3.42801054643106,0.783977884766815,"negative","pdo","continental",35
